epoch,train_loss,val_loss,val_rmse_C
1,0.154544,1.298425,1.760587
2,0.120447,1.217256,1.673724
3,0.113539,1.209962,1.662605
4,0.110055,1.187246,1.638019
5,0.108047,1.171443,1.623264
6,0.106532,1.188749,1.635785
7,0.105422,1.177254,1.628872
8,0.104554,1.140929,1.590782
9,0.103622,1.163537,1.611262
10,0.103266,1.146986,1.593985
11,0.102735,1.135866,1.584361
12,0.102158,1.132644,1.581761
13,0.101887,1.145739,1.592537
14,0.101353,1.120765,1.570009
15,0.101212,1.124172,1.570852
16,0.100829,1.124869,1.574896
17,0.100560,1.134771,1.580865
18,0.100282,1.113591,1.565706
19,0.100064,1.125984,1.573214
20,0.099991,1.127452,1.577217
21,0.099694,1.122024,1.572304
22,0.099463,1.127926,1.578214
23,0.099327,1.150179,1.598972
