epoch,train_loss,val_loss,val_rmse_C
1,0.039996,1.317380,1.787764
2,0.024162,1.201400,1.664993
3,0.022963,1.173090,1.631078
4,0.022322,1.168552,1.626848
5,0.021965,1.141786,1.599550
6,0.021663,1.121787,1.581489
7,0.021413,1.133739,1.594568
8,0.021210,1.152998,1.601176
9,0.021048,1.110786,1.563494
10,0.020902,1.113823,1.566657
11,0.020787,1.101233,1.559836
12,0.020657,1.103408,1.560964
13,0.020573,1.083465,1.540828
14,0.020436,1.094985,1.548308
15,0.020335,1.106008,1.560371
16,0.020244,1.102715,1.557520
17,0.020176,1.100604,1.557114
18,0.020069,1.098411,1.560122
